"Step","20-agents - total_rewards","20-agents - total_rewards__MIN","20-agents - total_rewards__MAX","15-agents - total_rewards","15-agents - total_rewards__MIN","15-agents - total_rewards__MAX","10-agents - total_rewards","10-agents - total_rewards__MIN","10-agents - total_rewards__MAX","5-agents - total_rewards","5-agents - total_rewards__MIN","5-agents - total_rewards__MAX","1-agent - total_rewards","1-agent - total_rewards__MIN","1-agent - total_rewards__MAX"
"0","1.424","1.424","1.424","0.9964","0.9964","0.9964","0","0","0","0.7372000000000001","0.7372000000000001","0.7372000000000001","0","0","0"
"1","0.1684","0.1684","0.1684","0","0","0","0.6184000000000001","0.6184000000000001","0.6184000000000001","0.6976","0.6976","0.6976","0","0","0"
"2","0","0","0","0.9524","0.9524","0.9524","0.12160000000000004","0.12160000000000004","0.12160000000000004","0","0","0","0","0","0"
"3","0.6472","0.6472","0.6472","0","0","0","1.4779999999999998","1.4779999999999998","1.4779999999999998","0.23319999999999996","0.23319999999999996","0.23319999999999996","0","0","0"
"4","0.4384","0.4384","0.4384","0.7048","0.7048","0.7048","0","0","0","0","0","0","0","0","0"
"5","1.0352","1.0352","1.0352","0","0","0","1.3303999999999998","1.3303999999999998","1.3303999999999998","0","0","0","0","0","0"
"6","0.5895999999999999","0.5895999999999999","0.5895999999999999","1.8812","1.8812","1.8812","0","0","0","0.4312","0.4312","0.4312","0","0","0"
"7","0.9956","0.9956","0.9956","1.3807999999999998","1.3807999999999998","1.3807999999999998","0","0","0","0","0","0","0","0","0"
"8","0.45640000000000003","0.45640000000000003","0.45640000000000003","0.5608","0.5608","0.5608","0","0","0","0","0","0","0","0","0"
"9","1.208","1.208","1.208","1.5284","1.5284","1.5284","1.1648","1.1648","1.1648","0","0","0","0","0","0"
"10","0.4204","0.4204","0.4204","0.7263999999999999","0.7263999999999999","0.7263999999999999","0.964","0.964","0.964","0","0","0","0","0","0"
"11","0","0","0","0.8884","0.8884","0.8884","0.49240000000000006","0.49240000000000006","0.49240000000000006","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","0.9964","0.9964","0.9964","1.1","1.1","1.1","0.6904","0.6904","0.6904","0.7804","0.7804","0.7804","0","0","0"
